AABA,Altaba Inc.
AAN,"Aaron&#39;s,  Inc."
AAOI,"Applied Optoelectronics, Inc."
AAPL,Apple Inc.
ACIA,"Acacia Communications, Inc."
ACIW,"ACI Worldwide, Inc."
ACLS,"Axcelis Technologies, Inc."
ACTA,Actua Corporation
ACXM,Acxiom Corporation
ACY,AeroCentury Corp.
ADBE,Adobe Systems Incorporated
ADI,"Analog Devices, Inc."
ADP,"Automatic Data Processing, Inc."
ADSK,"Autodesk, Inc."
AER,Aercap Holdings N.V.
AGYS,"Agilysys, Inc."
AIRG,"Airgain, Inc."
AL,Air Lease Corporation
ALLT,Allot Communications Ltd.
ALOT,"AstroNova, Inc."
ALRM,"Alarm.com Holdings, Inc."
AMAT,"Applied Materials, Inc."
AMBA,"Ambarella, Inc."
AMBR,"Amber Road, Inc."
AMCN,AirMedia Group Inc
AMD,"Advanced Micro Devices, Inc."
AMKR,"Amkor Technology, Inc."
AMN,AMN Healthcare Services Inc
AMSWA,"American Software, Inc."
ANET,"Arista Networks, Inc."
ANSS,"ANSYS, Inc."
ANY,Sphere 3D Corp.
AOSL,Alpha and Omega Semiconductor Limited
APPF,"AppFolio, Inc."
APPN,Appian Corporation
APTI,"Apptio, Inc."
ARRS,ARRIS International plc
ASGN,"On Assignment, Inc."
ASML,ASML Holding N.V.
ASUR,Asure Software Inc
ASX,"Advanced Semiconductor Engineering, Inc."
ASYS,"Amtech Systems, Inc."
ATEN,"A10 Networks, Inc."
ATHM,Autohome Inc.
ATOM,Atomera Incorporated
ATTU,Attunity Ltd.
ATU,Actuant Corporation
ATVI,"Activision Blizzard, Inc"
AUO,AU Optronics Corp
AUTO,"AutoWeb, Inc."
AVGO,Broadcom Limited
AVID,"Avid Technology, Inc."
AVNW,"Aviat Networks, Inc."
AWRE,"Aware, Inc."
AXTI,AXT Inc
AYR,Aircastle Limited
AYX,"Alteryx, Inc."
AZPN,"Aspen Technology, Inc."
BBOX,Black Box Corporation
BBRY,BlackBerry Limited
BBSI,"Barrett Business Services, Inc."
BCOV,Brightcove Inc.
BDR,"Blonder Tongue Laboratories, Inc."
BGSF,BG Staffing Inc
BHE,"Benchmark Electronics, Inc."
BIDU,"Baidu, Inc."
BITA,Bitauto Holdings Limited
BKI,"Black Knight, Inc."
BKYI,"BIO-key International, Inc."
BL,"BlackLine, Inc."
BLIN          ,"Bridgeline Digital, Inc."
BLKB,"Blackbaud, Inc."
BNFT,"Benefitfocus, Inc."
BOSC,B.O.S. Better Online Solutions
BOX,"Box, Inc."
BRCD,"Brocade Communications Systems, Inc."
BRKS,"Brooks Automation, Inc."
BSFT,"BroadSoft, Inc."
BV,"Bazaarvoice, Inc."
BVSN,"BroadVision, Inc."
CA,CA Inc.
CACI,"CACI International, Inc."
CAI,"CAI International, Inc."
CALD,"Callidus Software, Inc."
CAMP,CalAmp Corp.
CARB,"Carbonite, Inc."
CARS,Cars.com Inc.
CAVM,"Cavium, Inc."
CCIH,ChinaCache International Holdings Ltd.
CCMP,Cabot Microelectronics Corporation
CCRN,"Cross Country Healthcare, Inc."
CCUR,Concurrent Computer Corporation
CDNS,"Cadence Design Systems, Inc."
CERN,Cerner Corporation
CEVA,"CEVA, Inc."
CHKP,Check Point Software Technologies Ltd.
CHUBA,"CommerceHub, Inc."
CHUBK,"CommerceHub, Inc."
CISN,Cision Ltd.
CLDR,"Cloudera, Inc."
CLGX,"CoreLogic, Inc."
CLNT,"Cleantech Solutions International, Inc."
CLS,"Celestica, Inc."
CMCM,Cheetah Mobile Inc.
CMTL,Comtech Telecommunications Corp.
CNET,"ChinaNet Online Holdings, Inc."
CNIT,"China Information Technology, Inc."
CNXR,"Connecture, Inc."
COMM,"CommScope Holding Company, Inc."
COOL,"PolarityTE, Inc."
COUP,Coupa Software Incorporated
CPAH,CounterPath Corporation
CPSI,"Computer Programs and Systems, Inc."
CRAY,Cray Inc
CREE,"Cree, Inc."
CRM,Salesforce.com Inc
CRNT,Ceragon Networks Ltd.
CRTO,Criteo S.A.
CRUS,"Cirrus Logic, Inc."
CSCO,"Cisco Systems, Inc."
CSGS,"CSG Systems International, Inc."
CSIQ,Canadian Solar Inc.
CSLT,"Castlight Health, inc."
CSOD,"Cornerstone OnDemand, Inc."
CSPI,CSP Inc.
CSRA,CSRA Inc.
CTG,"Computer Task Group, Incorporated"
CTS,CTS Corporation
CTSH,Cognizant Technology Solutions Corporation
CTXS,"Citrix Systems, Inc."
CUDA,"Barracuda Networks, Inc."
CVG,Convergys Corporation
CVLT,"Commvault Systems, Inc."
CVR,Chicago Rivet & Machine Co.
CVV,CVD Equipment Corporation
CW,Curtiss-Wright Corporation
CYBR,CyberArk Software Ltd.
CY,Cypress Semiconductor Corporation
CYOU,Changyou.com Limited
CYRN,CYREN Ltd.
DATA,"Tableau Software, Inc."
DCM,"NTT DOCOMO, Inc"
DDD,3D Systems Corporation
DGII,Digi International Inc.
DGLY,"Digital Ally, Inc."
DIOD,Diodes Incorporated
DLHC,DLH Holdings Corp.
DMRC,Digimarc Corporation
DOV,Dover Corporation
DOX,Amdocs Limited
DQ,DAQO New Energy Corp.
DSGX,The Descartes Systems Group Inc.
DSPG,"DSP Group, Inc."
DST,"DST Systems, Inc."
DTRM,"Determine, Inc. "
DVMT,Dell Technologies Inc.
DWCH,Datawatch Corporation
DXC,DXC Technology Company
EA,Electronic Arts Inc.
EBIX,"Ebix, Inc."
ECOM          ,ChannelAdvisor Corporation
EDGW,"Edgewater Technology, Inc."
EFII,"Electronics for Imaging, Inc."
EGAN,eGain Corporation
EIGI,"Endurance International Group Holdings, Inc."
ELLI,"Ellie Mae, Inc."
ELON,Echelon Corporation
ELTK,Eltek Ltd.
EMAN,eMagin Corporation
EMKR,EMCORE Corporation
ENPH,"Enphase Energy, Inc."
EPAM,"EPAM Systems, Inc."
EPAY,"Bottomline Technologies, Inc."
ERIC,Ericsson
ERII,"Energy Recovery, Inc."
ETN,"Eaton Corporation, PLC"
EVBG,"Everbridge, Inc."
EVOL,"Evolving Systems, Inc."
EVTC,"Evertec, Inc."
EXA,Exa Corporation
EXTN,Exterran Corporation
EXTR,"Extreme Networks, Inc."
FB,"Facebook, Inc."
FDS,FactSet Research Systems Inc.
FEYE,"FireEye, Inc."
FFIV,"F5 Networks, Inc."
FISV,"Fiserv, Inc."
FIT,"Fitbit, Inc."
FIVN,"Five9, Inc."
FLEX,Flex Ltd.
FLOW,"SPX FLOW, Inc."
FNSR,Finisar Corporation
FORM,"FormFactor, Inc."
FORTY,Formula Systems (1985) Ltd.
FPAY,"FlexShopper, Inc."
FRSX,Foresight Autonomous Holdings Ltd.
FSLR,"First Solar, Inc."
FSNN,"Fusion Telecommunications International, Inc."
FTNT,"Fortinet, Inc."
GDDY,GoDaddy Inc.
GDI,"Gardner Denver Holdings, Inc."
GDS,GDS Holdings Limited
GEC,"Great Elm Capital Group, Inc. "
GFNCP,General Finance Corporation
GFN,General Finance Corporation
GFNSL,General Finance Corporation
GHM,Graham Corporation
GIGM,GigaMedia Limited
GILT,Gilat Satellite Networks Ltd.
GIMO,Gigamon Inc.
GLOB,Globant S.A.
GLUU,Glu Mobile Inc.
GOOG,Alphabet Inc.
GOOGL,Alphabet Inc.
GRPN,"Groupon, Inc."
GSB,"GlobalSCAPE, Inc."
GSIT,"GSI Technology, Inc."
GSUM,Gridsum Holding Inc.
GVP,"GSE Systems, Inc."
GWRE,"Guidewire Software, Inc."
HDP,"Hortonworks, Inc."
HHS,"Harte-Hanks, Inc."
HIMX,"Himax Technologies, Inc."
HIVE,"Aerohive Networks, Inc."
HLIT,Harmonic Inc.
HPE,Hewlett Packard Enterprise Company
HPQ,HP Inc.
HQCL,"Hanwha Q CELLS Co., Ltd. "
HSII,"Heidrick & Struggles International, Inc."
HSON,"Hudson Global, Inc."
HSTM,"HealthStream, Inc."
HUBS,"HubSpot, Inc."
IBM,International Business Machines Corporation
ICHR,Ichor Holdings
IDN,"Intellicheck, Inc."
IDTI,"Integrated Device Technology, Inc."
IEC,IEC Electronics Corp.
IIJI,"Internet Initiative Japan, Inc."
IMI,"Intermolecular, Inc."
IMMR,Immersion Corporation
IMOS,ChipMOS TECHNOLOGIES INC.
IMPV,"Imperva, Inc."
INAP,Internap Corporation
INFO,IHS Markit Ltd.
INFY,Infosys Limited
INOD,Innodata Inc.
INOV,"Inovalon Holdings, Inc."
INPX,Inpixon 
INSE,"Inspired Entertainment, Inc."
INS,Intelligent Systems Corporation
INST,"Instructure, Inc."
INTC,Intel Corporation
INTU,Intuit Inc.
INTX,"Intersections, Inc."
INVE,"Identiv, Inc."
INXN,InterXion Holding N.V.
IOTS,Adesto Technologies Corporation
IPAS,iPass Inc.
IPDN,"Professional Diversity Network, Inc."
IPG,"Interpublic Group of Companies, Inc. (The)"
IPGP,IPG Photonics Corporation
IPHI,Inphi Corporation
ISSC,"Innovative Solutions and Support, Inc."
ITW,Illinois Tool Works Inc.
IVAC,"Intevac, Inc."
IXYS,IXYS Corporation
JASO,"JA Solar Holdings, Co., Ltd."
JBL,Jabil Inc.
JBT,John Bean Technologies Corporation
JCOM,"j2 Global, Inc."
JKHY,"Jack Henry & Associates, Inc."
JKS,JinkoSolar Holding Company Limited
JMU,JMU Limited
JNPR,"Juniper Networks, Inc."
JOB,GEE Group Inc.
JOBS,"51job, Inc."
KAI,Kadant Inc
KE,"Kimball Electronics, Inc."
KELYA,"Kelly Services, Inc."
KELYB,"Kelly Services, Inc."
KEYW,The KEYW Holding Corporation
KFRC,"Kforce, Inc."
KFY,Korn/Ferry International
KLIC,"Kulicke and Soffa Industries, Inc."
KONE,Kingtone Wirelessinfo Solution Holding Ltd
KOPN,Kopin Corporation
KTCC,Key Tronic Corporation
KTEC,"Key Technology, Inc."
KVHI,"KVH Industries, Inc."
KYO,Kyocera Corporation
LDOS,"Leidos Holdings, Inc."
LECO,"Lincoln Electric Holdings, Inc."
LEDS,SemiLEDS Corporation
LFGR,Leaf Group Ltd.
LINK,"Interlink Electronics, Inc."
LIQT,"LiqTech International, Inc."
LLL,"L3 Technologies, Inc."
LN,LINE Corporation
LOGI,Logitech International S.A.
LOGM,"LogMein, Inc."
LORL,"Loral Space and Communications, Inc."
LPSN,"LivePerson, Inc."
LPTH,"LightPath Technologies, Inc."
LRCX,Lam Research Corporation
LSCC,Lattice Semiconductor Corporation
LTRPA,"Liberty TripAdvisor Holdings, Inc."
LTRPB,"Liberty TripAdvisor Holdings, Inc."
LTRX,"Lantronix, Inc."
LXFT,"Luxoft Holding, Inc."
MAMS,"MAM Software Group, Inc."
MANH,"Manhattan Associates, Inc."
MAN,ManpowerGroup
MATR,Mattersight Corporation
MB,"MINDBODY, Inc."
MCHP,Microchip Technology Incorporated
MCRN,Milacron Holdings Corp.
MDCA,MDC Partners Inc.
MDRX,"Allscripts Healthcare Solutions, Inc."
MDSO,"Medidata Solutions, Inc."
MFGP,Micro Focus Intl PLC
MGIC,Magic Software Enterprises Ltd.
MGRC,McGrath RentCorp
MIDD,The Middleby Corporation
MIME,Mimecast Limited
MIND,"Mitcham Industries, Inc."
MINDP,"Mitcham Industries, Inc."
MITK,"Mitek Systems, Inc."
MITL,Mitel Networks Corporation
MIXT,MiX Telematics Limited
MJCO,Majesco
MLNX,"Mellanox Technologies, Ltd."
MNDO,MIND C.T.I. Ltd.
MNGA,MagneGas Corporation
MNTX,"Manitex International, Inc."
MOBL,"MobileIron, Inc."
MODN,"Model N, Inc."
MOMO,Momo Inc.
MOSY,"MoSys, Inc."
MOXC,"Moxian, Inc."
MPWR,"Monolithic Power Systems, Inc."
MRAM,"Everspin Technologies, Inc."
MRIN,Marin Software Incorporated
MRVL,Marvell Technology Group Ltd.
MSCC,Microsemi Corporation
MSDI,"Monster Digital, Inc."
MSDIW,"Monster Digital, Inc."
MSFT,Microsoft Corporation
MSI,"Motorola Solutions, Inc."
MSTR,MicroStrategy Incorporated
MTBC,"Medical Transcription Billing, Corp."
MTBCP,"Medical Transcription Billing, Corp."
MTCH,"Match Group, Inc."
MTLS,Materialise NV
MTSI,"MACOM Technology Solutions Holdings, Inc."
MULE,"MuleSoft, Inc."
MU,"Micron Technology, Inc."
MXIM,"Maxim Integrated Products, Inc."
MXL,"MaxLinear, Inc"
MX,MagnaChip Semiconductor Corporation
MYSZ,"My Size, Inc."
NATI,National Instruments Corporation
NETE,"Net Element, Inc."
NEWR,"New Relic, Inc."
NH,"NantHealth, Inc."
NICE,NICE Ltd
NLST,"Netlist, Inc."
NNDM,Nano Dimension Ltd.
NOK,Nokia Corporation
NOW,"ServiceNow, Inc."
NPTN,NeoPhotonics Corporation
NQ,NQ Mobile Inc.
NSP,"Insperity, Inc."
NTAP,"NetApp, Inc."
NTCT,"NetScout Systems, Inc."
NTNX,"Nutanix, Inc."
NTWK,NetSol Technologies Inc.
NUAN,"Nuance Communications, Inc."
NVDA,NVIDIA Corporation
NVEC,NVE Corporation
NXPI,NXP Semiconductors N.V.
OCLR,"Oclaro, Inc."
OIIM,O2Micro International Limited
OKTA,"Okta, Inc."
OMCL,"Omnicell, Inc."
OMC,Omnicom Group Inc.
ON,ON Semiconductor Corporation
OOMA,"Ooma, Inc."
ORCL,Oracle Corporation
OSIS,"OSI Systems, Inc."
OTEX,Open Text Corporation
OTIV,On Track Innovations Ltd
PANW,"Palo Alto Networks, Inc."
PAYC,"Paycom Software, Inc."
PCTI,"PC-Tel, Inc."
PCTY,Paylocity Holding Corporation
PCYG,"Park City Group, Inc."
PDFS,"PDF Solutions, Inc."
PEGA,Pegasystems Inc.
PERI,Perion Network Ltd
PFIN,"P & F Industries, Inc."
PFPT,"Proofpoint, Inc."
PIXY,"ShiftPixy, Inc."
PKE,Park Electrochemical Corporation
PLAB,"Photronics, Inc."
PLUS,ePlus inc.
PLXS,Plexus Corp.
PNR,Pentair plc.
PNTR,Pointer Telocation Ltd.
POWI,"Power Integrations, Inc."
PRFT,"Perficient, Inc."
PRGS,Progress Software Corporation
PRKR,"ParkerVision, Inc."
PRO,"PROS Holdings, Inc."
PSDO,"Presidio, Inc."
PSTG,"Pure Storage, Inc. "
PTC,PTC Inc.
PXLW,"Pixelworks, Inc."
QADA,QAD Inc.
QADB,QAD Inc.
QBAK,Qualstar Corporation
QCOM,QUALCOMM Incorporated
QLYS,"Qualys, Inc."
QRHC,Quest Resource Holding Corporation.
QRVO,"Qorvo, Inc."
QSII,"Quality Systems, Inc."
QTM,Quantum Corporation
QTNA,"Quantenna Communications, Inc."
QTWO,"Q2 Holdings, Inc."
QUIK,QuickLogic Corporation
QUMU,Qumu Corporation
RATE,"Bankrate, Inc."
RBCN,"Rubicon Technology, Inc."
RCII,Rent-A-Center Inc.
RCMT,"RCM Technologies, Inc."
RDCM,Radcom Ltd.
RENN,Renren Inc.
RESN,Resonant Inc.
RHI,Robert Half International Inc.
RHT,"Red Hat, Inc."
RMBS,"Rambus, Inc."
RNG,"Ringcentral, Inc."
RNWK,"RealNetworks, Inc."
RPD,"Rapid7, Inc."
RP,"RealPage, Inc."
RST,Rosetta Stone
RSYS,RadiSys Corporation
RUBI,"The Rubicon Project, Inc."
RWC,RELM Wireless Corporation
RXN,Rexnord Corporation
SABR,Sabre Corporation
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SANM,Sanmina Corporation
SAP,SAP SE
SATS,EchoStar Corporation
SCKT,"Socket Mobile, Inc."
SCON,Superconductor Technologies Inc.
SCSC,"ScanSource, Inc."
SCWX,SecureWorks Corp.
SEAC,"SeaChange International, Inc."
SEDG,"SolarEdge Technologies, Inc."
SFUN,Fang Holdings Limited
SGH,"SMART Global Holdings, Inc."
SGMA,"SigmaTron International, Inc."
SGMS,Scientific Games Corp
SGOC,"SGOCO Group, Ltd"
SHOP,Shopify Inc.
SHSP,"SharpSpring, Inc."
SIFY,Sify Technologies Limited
SIGM,"Sigma Designs, Inc."
SILC,Silicom Ltd
SIMO,Silicon Motion Technology Corporation
SINA,Sina Corporation
SLAB,"Silicon Laboratories, Inc."
SLP,"Simulations Plus, Inc."
SMCI,"Super Micro Computer, Inc."
SMI,Semiconductor  Manufacturing International Corporation
SMSI,"Smith Micro Software, Inc."
SMTC,Semtech Corporation
SMTX,SMTC Corporation
SNAP,Snap Inc.
SNCR,"Synchronoss Technologies, Inc."
SNPS,"Synopsys, Inc."
SNX,Synnex Corporation
SOFO,"Sonic Foundry, Inc."
SOHU,Sohu.com Inc.
SOL,Renesola Ltd.
SONS,"Sonus Networks, Inc."
SPA,Sparton Corporation
SPCB,"SuperCom, Ltd."
SPIL,"Siliconware Precision Industries Company, Ltd."
SPI,"SPI Energy Co., Ltd."
SPLK,Splunk Inc.
SPNS,Sapiens International Corporation N.V.
SPRT,"support.com, Inc."
SPSC,"SPS Commerce, Inc."
SPWR,SunPower Corporation
SPXC,SPX Corporation
SQNS,Sequans Communications S.A.
SQ,"Square, Inc."
SRAX,"Social Reality, Inc."
SRT,"StarTek, Inc."
SSNC,"SS&C Technologies Holdings, Inc."
SSNI,"Silver Spring Networks, Inc."
SSTI,"ShotSpotter, Inc."
SSTK,"Shutterstock, Inc."
SSYS,"Stratasys, Ltd."
STAF,"Staffing 360 Solutions, Inc."
STM,STMicroelectronics N.V.
STRM,"Streamline Health Solutions, Inc."
STX,Seagate Technology PLC
SWCH,"Switch, Inc."
SWIR,"Sierra Wireless, Inc."
SWKS,"Skyworks Solutions, Inc."
SXI,Standex International Corporation
SYKE,"Sykes Enterprises, Incorporated"
Symbol,Name
SYMC,Symantec Corporation
SYNA,Synaptics Incorporated
SYNC,"Synacor, Inc."
SYNT,"Syntel, Inc."
TACT,TransAct Technologies Incorporated
TBI,"TrueBlue, Inc."
TCCO,Technical Communications Corporation
TCX,Tucows Inc.
TDC,Teradata Corporation
TEAM,Atlassian Corporation Plc
TECD,Tech Data Corporation
TEUM,Pareteum Corporation
TGH,Textainer Group Holdings Limited
TISA,"Top Image Systems, Ltd."
TLND,Talend S.A.
TLRA,"Telaria, Inc."
TNC,Tennant Company
TNTR,"Tintri, Inc."
TRIP,"TripAdvisor, Inc."
TRTN,Triton International Limited
TRT,Trio-Tech International
TRUE,"TrueCar, Inc."
TRVG,trivago N.V.
TSEM,Tower Semiconductor Ltd.
TSG,The Stars Group Inc.
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TSRI,"TSR, Inc."
TTD,"The Trade Desk, Inc."
TTEC,"TeleTech Holdings, Inc."
TTMI,"TTM Technologies, Inc."
TTWO,"Take-Two Interactive Software, Inc."
TWIN,"Twin Disc, Incorporated"
TWLO,Twilio Inc.
TWOU,"2U, Inc."
TWTR,"Twitter, Inc."
TXN,Texas Instruments Incorporated
TYL,"Tyler Technologies, Inc."
TYPE,Monotype Imaging Holdings Inc.
TZOO,Travelzoo
UBNT,"Ubiquiti Networks, Inc."
UCTT,"Ultra Clean Holdings, Inc."
UIS,Unisys Corporation
ULTI,"The Ultimate Software Group, Inc."
UMC,United Microelectronics Corporation
UPLD,"Upland Software, Inc."
URI,"United Rentals, Inc."
VDSI,"VASCO Data Security International, Inc."
VECO,Veeco Instruments Inc.
VEEV,Veeva Systems Inc.
VERI,"Veritone, Inc."
VIAV,Viavi Solutions Inc.
VISI,"Volt Information Sciences, Inc."
VMW,"Vmware, Inc."
VNET,"21Vianet Group, Inc."
VRNS,"Varonis Systems, Inc."
VRNT,Verint Systems Inc.
VRSK,"Verisk Analytics, Inc."
VRSN,"VeriSign, Inc."
VRTU,Virtusa Corporation
VSAT,"ViaSat, Inc."
VUZI,Vuzix Corporation
WATT,Energous Corporation
WBT,"Welbilt, Inc."
WB,Weibo Corporation
WDAY,"Workday, Inc."
WDC,Western Digital Corporation
WEB,"Web.com Group, Inc."
WIT,Wipro Limited
WIX,Wix.com Ltd.
WK,Workiva Inc.
WPPGY,WPP plc
WSCI,WSI Industries Inc.
WSTG,"Wayside Technology Group, Inc."
WUBA,58.com Inc.
WYY,WidePoint Corporation
XLNX,"Xilinx, Inc."
XNET,Xunlei Limited
XPER,Xperi Corporation
XPLR,Xplore Technologies Corp
XRX,Xerox Corporation
YEXT,"Yext, Inc."
YGE,Yingli Green Energy Holding Company Limited
YNDX,Yandex N.V.
YUME,"YuMe, Inc."
YY,YY Inc.
ZBRA,Zebra Technologies Corporation
ZDGE,"Zedge, Inc."
ZEN,"Zendesk, Inc."
ZIXI,Zix Corporation
ZNGA,Zynga Inc.
